19,20,0.99,250,04:56:00,aventura,False
2026-01-19 20:53:47,{'host': '21000d652fc7.ngrok-free.app', 'user-agent': 'python-requests/2.32.5', 'content-length': '40', 'accept': '*/*', 'accept-encoding': 'gzip, deflate', 'content-type': 'application/json', 'x-forwarded-for': '157.100.202.120', 'x-forwarded-host': '21000d652fc7.ngrok-free.app', 'x-forwarded-proto': 'https'},{"uid": "Firmware Version: 0x92 = v2.0"}
2026-01-19 20:53:49,{'host': '21000d652fc7.ngrok-free.app', 'user-agent': 'python-requests/2.32.5', 'content-length': '62', 'accept': '*/*', 'accept-encoding': 'gzip, deflate', 'content-type': 'application/json', 'x-forwarded-for': '157.100.202.120', 'x-forwarded-host': '21000d652fc7.ngrok-free.app', 'x-forwarded-proto': 'https'},{"uid": "Scan PICC to see UID; SAK; type; and data blocks..."}
2026-01-19 20:59:42,Card UID: 04 41 E2 48 2A 02 89
2026-01-19 20:59:43,Card SAK: 00
2026-01-19 20:59:44,PICC type: MIFARE Ultralight or Ultralight C
2026-01-19 20:59:45,Page  0  1  2  3
2026-01-19 20:59:46,0   04 41 E2 2F
2026-01-19 20:59:47,1   48 2A 02 89
2026-01-19 20:59:48,2   E9 48 00 00
2026-01-19 20:59:50,3   E1 10 3E 00
2026-01-19 20:59:51,4   03 00 FE 00
2026-01-19 20:59:52,5   00 00 00 00
2026-01-19 20:59:53,6   00 00 00 00
2026-01-19 20:59:54,7   00 00 00 00
2026-01-19 20:59:55,8   00 00 00 00
2026-01-19 20:59:56,9   00 00 00 00
2026-01-19 20:59:58,10   00 00 00 00
2026-01-19 20:59:59,11   00 00 00 00
2026-01-19 21:00:00,12   00 00 00 00
2026-01-19 21:00:01,13   00 00 00 00
2026-01-19 21:00:02,14   00 00 00 00
2026-01-19 21:00:03,15   00 00 00 00
2026-01-21 09:06:21,04 B1 51 4C 2A 02 89,objeto_desconocido
2026-01-21 09:06:39,04 01 9E 48 2A 02 89,objeto_desconocido
2026-01-21 09:06:42,04 11 59 39 2A 02 89,objeto_desconocido
2026-01-21 09:06:44,04 61 30 41 2A 02 89,objeto_desconocido
2026-01-21 09:06:47,04 D1 36 41 2A 02 89,objeto_desconocido
2026-01-21 09:06:50,04 91 B5 46 2A 02 89,objeto_desconocido
2026-01-21 09:06:53,04 41 9C F9 29 02 89,objeto_desconocido
2026-01-21 09:06:55,04 41 6F 4A 2A 02 89,objeto_desconocido
2026-01-21 09:07:01,04 81 B4 4A 2A 02 89,objeto_desconocido
2026-01-21 09:07:03,04 11 DE 4A 2A 02 89,objeto_desconocido
2026-01-21 09:07:11,04 41 E2 48 2A 02 89,manzana_podrida
2026-01-21 09:14:30,04 11 91 40 2A 02 89,objeto_desconocido
2026-01-21 09:14:31,04 01 27 3D 2A 02 89,objeto_desconocido
2026-01-21 09:14:32,04 01 27 3D 2A 02 89,objeto_desconocido
2026-01-21 09:14:34,04 01 27 3D 2A 02 89,objeto_desconocido
2026-01-21 09:14:35,04 C1 5B 01 2A 02 89,objeto_desconocido
2026-01-21 09:14:36,04 A1 B3 3B 2A 02 89,objeto_desconocido
2026-01-21 09:14:37,04 41 E2 48 2A 02 89,manzana_podrida
2026-01-21 10:57:59,04 B1 51 4C 2A 02 89,objeto_desconocido
2026-01-21 11:14:45,04 C1 5B 01 2A 02 89,objeto_desconocido
2026-01-21 11:14:54,04 11 91 40 2A 02 89,objeto_desconocido
2026-01-21 11:14:57,04 01 27 3D 2A 02 89,objeto_desconocido
2026-01-21 11:15:18,04 C1 5B 01 2A 02 89,objeto_desconocido
